t,C,x
0.001507537688442211,7.906043210907702e-7,0.06669724197335224
0.0015577889447236182,7.906043210907702e-7,0.0688357607509408
0.0016080402010050252,7.906043210907702e-7,0.0709704724426434
0.0016582914572864321,7.906043210907702e-7,0.07310159380370995
0.001708542713567839,7.906043210907702e-7,0.07522936043881895
0.0017587939698492463,7.906043210907702e-7,0.07735402962886176
0.0018090452261306533,7.906043210907702e-7,0.07947586065761278
0.0018592964824120603,7.906043210907702e-7,0.08159514032941738
0.0019095477386934674,7.906043210907702e-7,0.08371218288962137
0.001959798994974874,7.906043210907702e-7,0.08582732461674494
0.0020100502512562816,7.906043210907702e-7,0.0879409331709933
0.0020603015075376886,7.906043210907702e-7,0.09005341448650539
0.0021105527638190956,7.906043210907702e-7,0.09216522279181484
0.0021608040201005025,7.906043210907702e-7,0.09427684834114568
0.0022110552763819095,7.906043210907702e-7,0.09638887316762973
0.0022613065326633165,7.906043210907702e-7,0.09850191126478548
0.0023115577889447235,7.906043210907702e-7,0.10061672724625476
0.0023618090452261304,7.906043210907702e-7,0.10273412720895882
0.002412060301507538,7.906043210907702e-7,0.10485515278453893
0.002462311557788945,7.906043210907702e-7,0.10698091850080105
0.002512562814070352,7.906043210907702e-7,0.10911291372160972
0.0025628140703517588,7.906043210907702e-7,0.11125277769486035
0.0026130653266331657,7.906043210907702e-7,0.11340277990567788
0.0026633165829145727,7.906043210907702e-7,0.1155655319003817
0.0027135678391959797,7.906043210907702e-7,0.11774480491965114
0.002763819095477387,7.906043210907702e-7,0.11994523771968112
0.002814070351758794,7.906043210907702e-7,0.122173936440606
0.002864321608040201,7.906043210907702e-7,0.12444057861997715
0.002914572864321608,7.906043210907702e-7,0.12676152672157937
0.002964824120603015,7.906043210907702e-7,0.1291632241461474
0.003015075376884422,7.906043210907702e-7,0.13170042016762676
0.003065326633165829,7.906043210907702e-7,0.13450121863375875
0.0031155778894472364,7.906043210907702e-7,0.13804109984206736
0.0031658291457286433,7.906043210907702e-7,0.1480226584596247
0.0032160804020100503,7.906043210907702e-7,0.5337269913643764
0.0032663316582914573,7.906043210907702e-7,0.5298026277890368
0.0033165829145728643,7.906043210907702e-7,0.5258219339048007
0.0033668341708542712,7.906043210907702e-7,0.5217787925245146
0.003417085427135678,7.906043210907702e-7,0.5176677208787024
0.0034673366834170856,7.906043210907702e-7,0.5134781925721381
0.0035175879396984926,7.906043210907702e-7,0.5092032167405526
0.0035678391959798996,7.906043210907702e-7,0.5048310362402607
0.0036180904522613066,7.906043210907702e-7,0.5003460701508284
0.0036683417085427135,7.906043210907702e-7,0.4957364869807896
0.0037185929648241205,7.906043210907702e-7,0.490978490488151
0.0037688442211055275,7.906043210907702e-7,0.48604818466582245
0.003819095477386935,7.906043210907702e-7,0.48091453368947384
0.003869346733668342,7.906043210907702e-7,0.4755360090556785
0.003919597989949748,7.906043210907702e-7,0.4698535700270372
0.003969849246231155,7.906043210907702e-7,0.4637850067638911
0.004020100502512563,7.906043210907702e-7,0.4572076120259455
0.00407035175879397,7.906043210907702e-7,0.44991719160922544
0.004120603015075377,7.906043210907702e-7,0.4415296118846557
0.004170854271356784,7.906043210907702e-7,0.4311647310114636
0.004221105527638191,7.906043210907702e-7,0.41534698067825576
0.004271356783919598,7.906043210907702e-7,0.00451143806420727
0.004321608040201005,7.906043210907702e-7,0.006818563091174157
0.004371859296482412,7.906043210907702e-7,0.009118077984232403
0.004422110552763819,7.906043210907702e-7,0.011410086540957185
0.004472361809045226,7.906043210907702e-7,0.013694685351589094
0.004522613065326633,7.906043210907702e-7,0.015971973389229368
0.00457286432160804,7.906043210907702e-7,0.018242067155111532
0.004623115577889447,7.906043210907702e-7,0.02050505518797551
0.004673366834170854,7.906043210907702e-7,0.022761070013515336
0.004723618090452261,7.906043210907702e-7,0.025010195637702636
0.004773869346733669,7.906043210907702e-7,0.027252568672492844
0.004824120603015076,7.906043210907702e-7,0.02948827681420743
0.004874371859296483,7.906043210907702e-7,0.031717453102148255
0.00492462311557789,7.906043210907702e-7,0.03394021077522745
0.004974874371859297,7.906043210907702e-7,0.03615665350333533
0.005025125628140704,7.906043210907702e-7,0.03836692802738294
0.005075376884422111,7.906043210907702e-7,0.04057115161010729
0.0051256281407035175,7.906043210907702e-7,0.04276944166291479
0.0051758793969849245,7.906043210907702e-7,0.044961929039222436
0.0052261306532663315,7.906043210907702e-7,0.047148761457525806
0.0052763819095477385,7.906043210907702e-7,0.049330080586880376
0.0053266331658291454,7.906043210907702e-7,0.05150599943303434
0.005376884422110552,7.906043210907702e-7,0.0536767054044414
0.005427135678391959,7.906043210907702e-7,0.05584231870599824
0.005477386934673367,7.906043210907702e-7,0.058003006445323926
0.005527638190954774,7.906043210907702e-7,0.06015893966302753
0.005577889447236181,7.906043210907702e-7,0.06231028767697796
0.005628140703517588,7.906043210907702e-7,0.06445722728856522
0.005678391959798995,7.906043210907702e-7,0.06659994598062578
0.005728643216080402,7.906043210907702e-7,0.06873864189314095
0.005778894472361809,7.906043210907702e-7,0.07087352281748377
0.005829145728643216,7.906043210907702e-7,0.07300480599324784
0.005879396984924623,7.906043210907702e-7,0.07513272015672
0.00592964824120603,7.906043210907702e-7,0.07725752140114825
0.005979899497487437,7.906043210907702e-7,0.07937947676114815
0.006030150753768844,7.906043210907702e-7,0.08149886601865737
0.006080402010050251,7.906043210907702e-7,0.08361600337826244
0.006130653266331658,7.906043210907702e-7,0.08573122188007805
0.006180904522613066,7.906043210907702e-7,0.08784489484460409
0.006231155778894473,7.906043210907702e-7,0.08995741436586048
0.00628140703517588,7.906043210907702e-7,0.09206924761190576
0.006331658291457287,7.906043210907702e-7,0.09418086489298647
0.006381909547738694,7.906043210907702e-7,0.09629286469607877
