t,k,x
23.743718592964825,0.9936734693877551,2.816971875762552
23.86934673366834,0.9936734693877551,2.9130026166497087
23.99497487437186,0.9936734693877551,3.0053220300966634
24.12060301507538,0.9936734693877551,3.0945989472102085
24.246231155778894,0.9936734693877551,3.1813502850387407
24.371859296482413,0.9936734693877551,3.2658967457786634
24.497487437185928,0.9936734693877551,3.3485476979174784
24.623115577889447,0.9936734693877551,3.4295386124888307
24.748743718592966,0.9936734693877551,3.5091066876688966
24.87437185929648,0.9936734693877551,3.5873943974957037
25.0,0.9936734693877551,3.6643492444127954
0.0,0.9940816326530613,1.0
0.12562814070351758,0.9940816326530613,1.2244440229983458
0.25125628140703515,0.9940816326530613,1.4086036821063763
0.3768844221105528,0.9940816326530613,1.5651395128034278
0.5025125628140703,0.9940816326530613,1.7015988382924905
0.628140703517588,0.9940816326530613,1.8234496926785109
0.7537688442211056,0.9940816326530613,1.9347005169915321
0.8793969849246231,0.9940816326530613,2.03835542119997
1.0050251256281406,0.9940816326530613,2.1364429811855996
1.1306532663316582,0.9940816326530613,2.230621172393516
1.256281407035176,0.9940816326530613,2.321937011776002
1.3819095477386936,0.9940816326530613,2.411137252148859
1.5075376884422111,0.9940816326530613,2.4986903449496882
1.6331658291457287,0.9940816326530613,2.5849805154381347
1.7587939698492463,0.9940816326530613,2.6702575895204768
1.8844221105527639,0.9940816326530613,2.754652923094261
2.0100502512562812,0.9940816326530613,2.8382414837428045
2.135678391959799,0.9940816326530613,2.921187910551158
2.2613065326633164,0.9940816326530613,3.0033794397379237
2.386934673366834,0.9940816326530613,3.084972712273449
2.512562814070352,0.9940816326530613,3.165876911046659
2.6381909547738696,0.9940816326530613,3.246066415604203
2.763819095477387,0.9940816326530613,3.32563302915274
2.8894472361809047,0.9940816326530613,3.4044574999084776
3.0150753768844223,0.9940816326530613,3.482469172228653
3.14070351758794,0.9940816326530613,3.5597363720416357
3.2663316582914574,0.9940816326530613,3.636202204686443
3.391959798994975,0.9940816326530613,3.7116772741391784
3.5175879396984926,0.9940816326530613,3.786218959952271
3.64321608040201,0.9940816326530613,3.8598334264337626
3.7688442211055277,0.9940816326530613,3.932225564830234
3.8944723618090453,0.9940816326530613,4.0034029550855355
4.0201005025125625,0.9940816326530613,4.073421568621146
4.1457286432160805,0.9940816326530613,4.141914590478261
4.271356783919598,0.9940816326530613,4.208757956435894
